peptide repair rescue spray conditioner,6.36,12.65,3,2,1,1,1,0,0,8,-0.07,-1%,150%,274,4045787429015
peptide repair rescue treatment,7.17,14.30,2,10,0,0,0,0,0,3,62.72,47%,20%,274,4045787429077
Brand Schwarzkopf - Category Hair Products (Wet to Dry),,,,,,,,,,,,,,,
Product Name,"Unit
Cost","Unit
Price",Arriv,"Sold
Qt",Stock,"Last
Wk Qt","Last 2
Wks Qt","Trans
In","Trans
Out",Order,"Gross
Profit",GP%,"Sell
thru","Days
Stock",Barcode
BC Oil Miracle Mist Fine Hair 100ml,10.26,20.75,0,1,-1,0,0,0,0,0,10.49,51%,0%,NA,4045787291476
BM Inst Blush Ice,3.00,17.25,0,1,2,0,0,0,0,1,9.94,77%,0%,871,4045787368895
BM Inst Blush Strawberry,3.00,17.25,0,1,3,0,0,0,0,3,-3.00,NA,0%,871,4045787368642
Chro ID Retail Mask Clear,0.00,24.50,0,1,-1,0,0,0,0,0,24.50,100%,0%,NA,4045787534153
Good Bye Yellow neutralizing wash,12.50,15.00,0,3,1,0,0,0,0,3,-12.00,-47%,0%,427,4045787404821
OSiS Session Label Volumizing Mousse 200ml,6.21,12.90,0,3,0,0,0,0,0,2,-5.73,-44%,0%,982,4045787370379
Osis Big Blast 200ml,6.60,13.68,0,5,0,0,0,0,0,2,35.40,52%,0%,423,4045787314786
Osis Blow & Go 200ml,6.22,12.45,7,4,0,0,0,0,0,11,18.08,42%,175%,274,4045787314090
Osis Fab Foam,5.43,10.95,2,2,4,0,0,0,0,4,0.09,1%,100%,87,4045787402643
Osis Flatliner 200ml,6.60,13.15,19,26,-10,2,3,0,0,22,58.55,25%,73%,267,4045787314908
Osis Tame Wild 150ml,6.75,13.50,1,5,0,1,1,0,0,6,33.75,50%,20%,274,4045787322323
Osis Topped Up,5.49,11.39,8,6,0,0,0,0,0,5,-10.16,-45%,133%,267,4045787401592
hyaluronic moisture kick micellar Shampoo,5.73,9.25,0,11,-7,0,0,0,0,10,-0.59,-1%,0%,437,4045787429138
